tick,hp,checkpoint,no_progress,fall_like,deaths_est,use_item_cd,side_pref
0,5.000,0,1,9,0,4,0,8,-0.0000
30,0.000,0,31,10,0,4,0,8,-0.0000
60,5.000,0,61,10,0,4,0,8,-0.0000
90,5.000,0,91,11,0,3,0,8,-0.0000
120,5.000,0,121,12,0,3,0,8,-0.0000
150,5.000,0,151,13,0,2,0,8,-0.0000
180,5.000,0,181,14,0,2,0,8,-0.0000
210,5.000,0,211,15,0,1,0,8,-0.0000
0,5.000,0,1,1,0,4,0,18,-0.2555
30,5.000,0,31,2,0,4,0,18,-0.2555
60,5.000,0,61,3,0,4,0,18,-0.2555
90,5.000,0,91,4,0,4,0,18,-0.2555
120,5.000,0,121,5,0,4,0,18,-0.2555
150,5.000,0,151,6,0,4,0,8,-0.0003
180,5.000,0,181,7,0,4,0,8,-0.0000
210,5.000,0,211,8,0,4,0,8,-0.0000
240,5.000,0,241,8,0,4,0,8,-0.0000
0,5.000,0,1,1,0,4,0,20,-0.2942
30,5.000,0,31,2,0,4,0,20,-0.2942
60,5.000,0,61,3,0,4,0,20,-0.2942
90,5.000,0,91,4,0,4,0,20,-0.2942
120,5.000,0,121,5,0,4,0,20,-0.2942
150,5.000,0,151,6,0,4,0,8,-0.0004
180,5.000,0,181,7,0,4,0,8,-0.0000
210,5.000,0,211,8,0,4,0,8,-0.0000
0,5.000,0,1,9,0,4,0,8,-0.0000
30,0.000,0,31,10,0,4,0,8,-0.0000
60,0.000,0,61,11,0,4,0,8,-0.0000
90,5.000,0,91,11,0,4,0,8,-0.0000
120,5.000,0,121,12,0,4,0,8,-0.0000
150,5.000,0,151,13,0,4,0,8,-0.0000
180,5.000,0,181,14,0,4,0,8,-0.0000
210,5.000,0,211,15,0,4,0,8,-0.0000
0,5.000,0,1,1,0,4,0,25,0.2553
30,5.000,0,31,2,0,4,0,25,0.2553
60,5.000,0,61,3,0,4,0,25,0.2553
90,5.000,0,91,4,0,4,0,25,0.2553
120,5.000,0,121,5,0,4,0,25,0.2553
150,5.000,0,151,6,0,4,0,8,0.0003
180,5.000,0,181,7,0,4,0,8,0.0000
210,5.000,0,211,8,0,4,0,8,0.0000
0,5.000,0,1,9,0,4,0,8,0.0000
30,5.000,0,31,10,0,4,0,8,0.0000
60,5.000,0,61,11,0,4,0,8,0.0000
90,5.000,0,91,12,0,4,0,8,0.0000
120,5.000,0,121,13,0,4,0,8,0.0000
150,5.000,0,151,14,0,4,0,8,0.0000
180,5.000,0,181,15,0,4,0,8,0.0000
210,5.000,0,211,15,0,4,0,8,0.0000
0,5.000,0,1,1,0,4,0,11,0.2986
30,5.000,0,31,2,0,4,0,11,0.2986
60,5.000,0,61,3,0,4,0,11,0.2986
90,5.000,0,91,4,0,4,0,11,0.2986
120,5.000,0,121,4,0,4,0,11,0.2986
0,5.000,0,1,1,0,4,0,19,-0.1124
30,0.000,0,31,2,0,4,0,19,-0.1124
60,0.000,0,61,3,0,4,0,19,-0.1124
90,5.000,0,91,3,0,4,0,19,-0.1124
120,5.000,0,121,4,0,4,0,19,-0.1124
0,5.000,0,1,1,0,4,0,21,-0.2183
30,5.000,0,31,1,0,4,0,21,-0.2183
60,5.000,0,61,1,0,4,0,21,-0.2183
90,5.000,0,91,2,0,4,0,21,-0.2183
120,5.000,0,121,2,0,4,0,21,-0.2183
0,5.000,0,1,3,0,4,0,8,-0.0025
30,5.000,0,31,3,0,4,0,8,-0.0025
60,5.000,0,61,4,0,4,0,8,-0.0025
90,5.000,0,91,5,0,4,0,8,-0.0025
120,5.000,0,121,5,0,4,0,8,-0.0025
0,5.000,0,1,1,0,4,0,22,0.0815
30,5.000,0,31,1,0,4,0,22,0.0815
60,5.000,0,61,1,0,4,0,22,0.0815
90,5.000,0,91,1,0,4,0,22,0.0815
120,5.000,0,121,1,0,4,0,22,0.0815
0,5.000,0,1,2,0,4,0,8,0.0009
30,5.000,1,10,2,0,4,0,8,0.0009
60,5.000,2,18,2,0,4,0,8,0.0009
90,5.000,2,48,2,0,4,0,8,0.0009
120,5.000,2,78,2,0,4,0,8,0.0009
0,5.000,0,1,1,0,4,0,15,-0.0168
30,5.000,0,31,1,0,4,0,15,-0.0168
60,5.000,0,61,2,0,4,0,15,-0.0168
90,5.000,0,91,2,0,4,0,15,-0.0168
120,5.000,0,121,2,0,4,0,15,-0.0168
0,5.000,0,1,1,0,4,0,13,-0.3188
30,5.000,0,31,1,0,4,0,13,-0.3188
60,5.000,0,61,1,0,4,0,13,-0.3188
90,5.000,0,91,2,0,4,0,13,-0.3188
